Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Manufacturer
Maruti Ritz ZXi,9,59451,Petrol,Manual,First,18.5,1197,85.8,5,3.69,Maruti
Maruti Swift VDI,10,53996,Diesel,Manual,First,22.9,1248,74,5,5.45,Maruti
Honda WRV i-VTEC,5,15135,Petrol,Manual,First,17.5,1199,88.7,5,9.29,Honda
Hyundai Xcent 1.2,8,53000,Petrol,Automatic,Second,16.9,1197,81.86,5,4,Hyundai
Honda Amaze E,10,40000,Petrol,Manual,First,18,1198,86.7,5,2.9,Honda
Hyundai Verna 1.6,10,21107,Petrol,Manual,First,17.1,1591,121.3,5,5.25,Hyundai
Honda City V,9,56000,Petrol,Manual,First,16.8,1497,116.3,5,5.75,Honda
Hyundai Creta 1.6,6,19623,Petrol,Manual,First,15.29,1591,121.3,5,13.12,Hyundai
Mahindra XUV500 W8,9,70963,Diesel,Manual,First,15.1,2179,140,7,7.83,Mahindra
Maruti Wagon R,10,25755,CNG,Manual,First,26.6,998,58.16,5,3.15,Maruti
Toyota Innova 2.5,10,51450,Diesel,Manual,First,12.8,2494,102,7,10.4,Toyota
Maruti Swift VDI,11,75000,Diesel,Manual,First,22.9,1248,74,5,4.35,Maruti
Maruti Wagon R,6,37832,Petrol,Automatic,First,22.5,998,67,5,5.23,Maruti
Hyundai Grand i10,7,43041,Petrol,Manual,First,18.9,1197,81.86,5,6.01,Hyundai
Honda Amaze VX,9,97236,Diesel,Manual,First,25.8,1498,98.6,5,4.4,Honda
BMW 3 Series,13,83000,Diesel,Automatic,First,16.07,1995,181,5,12.75,BMW
Ford Figo Petrol,12,65000,Petrol,Manual,First,15.6,1196,70,5,2.4,Ford
Volkswagen Ameo 1.2,5,46007,Petrol,Manual,First,17,1198,73.75,5,5.71,Volkswagen
Ford Ecosport 1.5,8,65925,Diesel,Manual,Second,22.7,1498,89.84,5,5.49,Ford
Honda City 1.3,19,73500,Petrol,Manual,Second,13,1343,90,5,1.3,Honda
Mahindra XUV500 W6,9,55000,Diesel,Manual,First,16,2179,140,7,8.5,Mahindra
Toyota Fortuner 4x2,11,115000,Diesel,Manual,First,13,2982,168.5,7,12.99,Toyota
Hyundai Grand i10,6,31184,Petrol,Manual,First,18.9,1197,81.86,5,5,Hyundai
Maruti Dzire AMT,6,41747,Diesel,Automatic,First,28.4,1248,73.75,5,9,Maruti
Maruti Swift VDI,7,38143,Diesel,Manual,First,22.9,1248,74,5,5.22,Maruti
Volkswagen Polo Petrol,11,19030,Petrol,Manual,First,16.47,1198,73.9,5,3.8,Volkswagen
Toyota Etios Liva,4,20877,Petrol,Manual,First,18.16,1197,78.9,5,7.27,Toyota
Maruti Swift VXI,7,23555,Petrol,Manual,First,22,1197,81.8,5,5.1,Maruti
Mercedes-Benz E-Class 2009-2013,10,29000,Diesel,Automatic,First,14.21,2143,203,5,29,Mercedes-Benz
Maruti Wagon R,10,61000,Petrol,Manual,First,18.9,998,67.1,5,2.9,Maruti
Tata Nano Lx,11,4187,Petrol,Manual,First,26,624,35,4,1.38,Tata
Skoda Laura 1.8,12,46000,Petrol,Manual,First,13.4,1798,157.8,5,5.5,Skoda
Volkswagen Polo GT,7,28000,Petrol,Automatic,First,17.21,1197,103.5,5,7.25,Volkswagen
Hyundai Verna 1.6,9,83558,Diesel,Manual,First,22.32,1582,126.32,5,6.98,Hyundai
Tata Bolt Quadrajet,6,40000,Diesel,Manual,First,22.95,1248,74,5,5.25,Tata
Hyundai EON D,10,36000,Petrol,Manual,First,21.1,814,55.2,5,1.95,Hyundai
Audi A4 2.0,9,21000,Diesel,Automatic,First,17.11,1968,174.33,5,24.5,Audi
Toyota Innova 2.5,10,62162,Diesel,Manual,First,12.99,2494,100,7,8.31,Toyota
Mercedes-Benz M-Class ML,11,83000,Diesel,Automatic,First,11.74,2987,254.8,5,36,Mercedes-Benz
Hyundai Xcent 1.1,8,58000,Diesel,Manual,First,24.4,1120,71,5,5.5,Hyundai
Honda Accord 2.4,12,62332,Petrol,Automatic,First,11.7,2354,177.6,5,5.89,Honda
Volkswagen Vento 1.5,7,50867,Diesel,Manual,First,20.34,1498,103.2,5,7.95,Volkswagen
Hyundai i20 Sportz,13,73000,Petrol,Manual,First,17,1197,80,5,2.75,Hyundai
Hyundai Elantra CRDi,11,98008,Diesel,Manual,First,22.7,1582,126.24,5,6.25,Hyundai
Ford Figo Diesel,8,36000,Diesel,Manual,First,20,1399,68.05,5,4.95,Ford
Hyundai i20 1.2,4,27339,Petrol,Manual,First,18.6,1197,81.83,5,6.27,Hyundai
Hyundai Verna 1.6,6,25000,Diesel,Manual,First,23.9,1582,126.2,5,8.65,Hyundai
Hyundai Grand i10,9,37000,Petrol,Manual,First,18.9,1197,82,5,3.5,Hyundai
Audi Q5 2.0,8,56000,Diesel,Automatic,First,14.16,1968,174.3,5,35,Audi
Maruti Swift Dzire,8,27000,Petrol,Manual,First,17.5,1298,85.8,5,4.45,Maruti
Hyundai i20 Magna,11,37000,Petrol,Manual,First,18.5,1197,80,5,2.65,Hyundai
Mahindra KUV 100,6,10500,Diesel,Manual,First,25.32,1198,77,5,4.7,Mahindra
Hyundai Elantra 1.6,9,49000,Diesel,Automatic,First,18.23,1582,126.2,5,8.9,Hyundai
Jeep Compass 2.0,6,7000,Diesel,Manual,First,17.1,1956,170,5,17.45,Jeep
Maruti Vitara Brezza,6,71256,Diesel,Manual,First,24.3,1248,88.5,5,9.58,Maruti
Toyota Corolla Altis,11,83184,Petrol,Manual,First,14.28,1798,138.03,5,6.22,Toyota
Mahindra XUV500 W8,10,87284,Diesel,Manual,First,15.1,2179,140,7,7.8,Mahindra
BMW X1 xDrive,7,7000,Diesel,Automatic,First,20.68,1995,190,5,27.75,BMW
Hyundai i20 Magna,8,29000,Diesel,Manual,Second,22.54,1396,88.73,5,7,Hyundai
Mercedes-Benz GLE 350d,6,33552,Diesel,Automatic,First,11.57,2987,254.79,5,64.87,Mercedes-Benz
Chevrolet Cruze LTZ,10,64000,Diesel,Manual,Second,17.3,1998,163.7,5,6.5,Chevrolet
Hyundai i20 1.2,12,82000,Petrol,Manual,Second,18.5,1197,80,5,2.7,Hyundai
Honda Brio S,11,70000,Petrol,Manual,Second,19.4,1198,86.8,5,2.5,Honda
Nissan Evalia 2013,10,166194,Diesel,Manual,First,19.3,1461,84.8,7,3.9,Nissan
Volkswagen Polo Petrol,8,58000,Petrol,Manual,First,16.47,1198,73.9,5,3.95,Volkswagen
Hyundai i10 Sportz,13,77000,Petrol,Manual,Second,20.36,1197,78.9,5,2.1,Hyundai
Chevrolet Cruze LTZ,14,73204,Diesel,Automatic,Third,18.1,1991,147.9,4,3.5,Chevrolet
Hyundai i10 Era,16,70000,Petrol,Manual,Second,19.81,1086,68.05,5,2,Hyundai
Maruti Ertiga VDI,9,79870,Diesel,Manual,First,20.77,1248,88.76,7,5.35,Maruti
Honda Amaze S,10,90000,Diesel,Manual,First,25.8,1498,98.6,5,3.8,Honda
Mercedes-Benz A Class,7,17000,Petrol,Automatic,First,15.5,1595,122,5,17.25,Mercedes-Benz
Hyundai Grand i10,5,46493,Petrol,Manual,First,18.9,1197,81.86,5,5.53,Hyundai
Hyundai i10 Sportz,14,68000,Petrol,Manual,Third,20.36,1197,78.9,5,1.95,Hyundai
Maruti Swift DDiS,6,2000,Diesel,Manual,First,28.4,1248,74,5,8.2,Maruti
Honda City 1.3,24,140000,Petrol,Manual,First,13,1343,90,5,0.9,Honda
Toyota Innova 2.5,10,255000,Diesel,Manual,Third,12.99,2494,100.6,7,6.5,Toyota
Mini Cooper Countryman,9,45535,Diesel,Automatic,First,23.8,1998,112,5,19.41,Mini
Fiat Linea T-Jet,7,39228,Petrol,Manual,First,15.7,1368,112.4,5,6.58,Fiat
Chevrolet Aveo 1.4,12,57000,Petrol,Manual,Second,14.49,1399,92.7,5,2.1,Chevrolet
Hyundai i10 Era,15,85445,Petrol,Manual,Second,19.81,1086,68.05,5,2,Hyundai
Hyundai Xcent 1.1,8,54000,Diesel,Manual,First,24.4,1120,71,5,3.7,Hyundai
Maruti Celerio VXI,9,53000,Petrol,Automatic,First,23.1,998,67.04,5,3.8,Maruti
Hyundai i10 Sportz,9,60000,Petrol,Manual,First,20.36,1197,78.9,5,3.25,Hyundai
Renault Duster 85PS,8,65668,Diesel,Manual,First,19.87,1461,83.8,5,5.53,Renault
BMW 3 Series,12,100000,Diesel,Automatic,Second,22.69,1995,190,5,10.9,BMW
Hyundai Grand i10,5,1800,Petrol,Manual,First,18.9,1197,82,5,5.1,Hyundai
Hyundai Santro DX,16,96000,Petrol,Manual,Second,0,999,113.2530497,5,2.2,Hyundai
Chevrolet Spark 1.0,14,44200,Petrol,Manual,Second,18,995,62,5,1.6,Chevrolet
Honda City i,5,14000,Petrol,Manual,First,17.4,1497,117.3,5,11.25,Honda
Volkswagen Vento Diesel,10,720000,Diesel,Manual,First,20.54,1598,103.6,5,5.9,Volkswagen
Toyota Fortuner 4x2,11,73000,Diesel,Automatic,First,11.5,2982,169,7,14.4,Toyota
Honda City 1.5,12,68000,Petrol,Manual,First,17,1497,118,5,3.6,Honda
BMW 5 Series,6,19543,Diesel,Automatic,First,18.12,1995,190,5,40.5,BMW
Audi Q5 30,9,38000,Diesel,Automatic,Second,14.16,1968,174.3,5,38.95,Audi
Maruti Ritz LDi,9,32805,Diesel,Manual,First,23.2,1248,73.94,5,3.6,Maruti
Volkswagen Vento 1.5,7,44782,Diesel,Automatic,First,21.21,1498,103.2,5,7.12,Volkswagen
Honda City i,7,55700,Diesel,Manual,First,26,1498,98.6,5,7.52,Honda
Audi A4 New,11,60000,Diesel,Automatic,Second,15.2,1968,140.8,5,10.35,Audi
Skoda Rapid 1.6,9,56000,Petrol,Manual,First,15,1598,103.52,5,7,Skoda
Toyota Fortuner 3.0,12,60000,Diesel,Manual,First,11.5,2982,171,7,10.85,Toyota
Chevrolet Optra Magnum,13,78563,Diesel,Manual,First,16.52,1991,123.7,5,2.35,Chevrolet
Maruti Eeco 7,9,34669,Petrol,Manual,First,15.1,1196,73,7,2.9,Maruti
Maruti Ciaz ZXi,6,17000,Petrol,Manual,First,20.73,1373,91.1,5,7.65,Maruti
Maruti Ciaz VDi,7,66000,Diesel,Manual,First,28.09,1248,88.5,5,6.4,Maruti
Toyota Innova 2.5,9,102418,Diesel,Manual,First,12.99,2494,100.6,7,10.1,Toyota
Maruti Swift Dzire,9,48800,Petrol,Manual,First,19.1,1197,85.8,5,4.25,Maruti
Toyota Innova Crysta,4,10601,Diesel,Automatic,First,11.36,2755,171.5,7,19.65,Toyota
Tata Indica V2,6,8200,Diesel,Manual,First,25,1396,69,5,4.4,Tata
Hyundai i20 Magna,11,100000,Petrol,Manual,First,18.5,1197,82.85,5,3.25,Hyundai
Ford Fiesta 1.4,11,78000,Diesel,Manual,First,17.8,1399,68,5,2.8,Ford
Chevrolet Enjoy 1.3,8,50000,Diesel,Manual,First,18.2,1248,73.74,8,4.3,Chevrolet
Ford Fiesta 1.4,17,89327,Diesel,Manual,Third,17.8,1399,68,5,1.55,Ford
Honda CR-V 2.4,16,98000,Petrol,Manual,Second,10.8,2354,152,5,4.7,Honda
Honda Jazz 1.2,6,24700,Petrol,Manual,First,18.7,1199,88.7,5,7.07,Honda
Mercedes-Benz GLS 350d,5,6000,Diesel,Automatic,First,11,2987,258,7,79,Mercedes-Benz
Hyundai Grand i10,5,9434,Petrol,Manual,First,18.9,1197,81.86,5,5.75,Hyundai
Maruti Ritz VXi,11,29000,Petrol,Manual,First,18.5,1197,85.8,5,3.25,Maruti
Volkswagen Ameo 1.5,6,22440,Diesel,Automatic,First,22,1498,108.495,5,8.89,Volkswagen
Honda City i,8,73070,Petrol,Manual,First,17.4,1497,117.3,5,5.9,Honda
Honda Jazz 1.2,7,21771,Petrol,Manual,First,18.7,1199,88.7,5,4.95,Honda
Maruti Swift Ldi,9,62000,Diesel,Manual,First,17.8,1248,75,5,3.75,Maruti
Hyundai Creta 1.6,6,37024,Diesel,Automatic,First,17.01,1582,126.2,5,10.97,Hyundai
Audi A7 2011-2015,9,60336,Diesel,Automatic,Second,14.4,2967,241.4,5,24.94,Audi
Hyundai EON D,9,26008,Petrol,Manual,First,21.1,814,55.2,5,1.97,Hyundai
Ford Figo Diesel,13,90000,Diesel,Manual,Second,20,1399,68,5,1.4,Ford
Volkswagen Ameo 1.2,5,35569,Petrol,Manual,First,17,1198,73.75,5,7.27,Volkswagen
Renault Scala Diesel,10,40000,Diesel,Manual,First,21.64,1461,84.8,5,4,Renault
Honda Jazz 1.2,8,45000,Petrol,Manual,First,18.7,1199,88.7,5,4.75,Honda
Hyundai i20 1.2,8,42000,Petrol,Manual,First,17,1197,80,5,5.1,Hyundai
Audi A4 3.0,11,46913,Diesel,Automatic,First,14.94,2967,241.4,5,16.11,Audi
Mahindra Ssangyong Rexton,9,62000,Diesel,Automatic,First,11.18,2696,184,7,10.55,Mahindra
Toyota Fortuner 2.8,6,15000,Diesel,Automatic,First,12.9,2755,174.5,7,30,Toyota
Skoda Octavia Classic,21,69000,Diesel,Manual,First,18.7,1896,66,5,1.6,Skoda
Mercedes-Benz New C-Class,11,41367,Diesel,Automatic,First,15.8,2148,170,5,18.49,Mercedes-Benz
Maruti Ciaz 1.4,5,15982,Petrol,Manual,First,20.73,1373,91.1,5,9.96,Maruti
Maruti Swift ZDi,10,99595,Diesel,Manual,Second,22.9,1248,74,5,4.75,Maruti
Toyota Qualis FS,21,63000,Diesel,Manual,Third,13.1,2446,75,10,3.65,Toyota
BMW 5 Series,11,49000,Diesel,Automatic,Second,16.73,2495,218,5,15.5,BMW
Mitsubishi Pajero 2.8,10,48272,Diesel,Manual,First,10.5,2835,116.9,6,11.82,Mitsubishi
Toyota Corolla H2,15,63000,Petrol,Manual,First,13.4,1794,125,5,2.05,Toyota
Maruti Wagon R,7,77000,CNG,Manual,First,26.6,998,58.16,5,3.3,Maruti
Maruti Omni E,10,11734,Petrol,Manual,First,16.8,796,34.2,8,2.25,Maruti
Audi A6 2011-2015,9,62012,Diesel,Automatic,First,17.68,1968,174.33,5,20.12,Audi
Hyundai Xcent 1.2,6,46000,CNG,Manual,First,25,1197,81.86,5,4.95,Hyundai
Honda Jazz 1.5,7,45449,Diesel,Manual,First,27.3,1498,98.6,5,7.48,Honda
Mercedes-Benz E-Class 200,19,85000,Petrol,Automatic,Second,10.5,1796,157.7,5,5.5,Mercedes-Benz
Honda City 1.5,18,88000,Petrol,Manual,Second,13,1493,100,5.278735151,1.7,Honda
Audi A4 2.0,10,45330,Diesel,Automatic,First,16.55,1968,147.51,5,13.19,Audi
Maruti Swift Dzire,11,88000,Petrol,Manual,First,19.1,1197,85.8,5,3.85,Maruti
Maruti Dzire VDI,7,45376,Diesel,Manual,First,28.4,1248,73.75,5,5.75,Maruti
Mahindra XUV500 W8,9,81000,Diesel,Manual,First,15.1,2179,140,7,9,Mahindra
Chevrolet Beat LT,11,83381,Petrol,Manual,First,18.6,1199,79.4,5,2.21,Chevrolet
Ford EcoSport 1.5,6,78526,Diesel,Manual,First,23,1498,98.96,5,8.09,Ford
BMW 5 Series,6,27313,Diesel,Automatic,First,14.69,2993,258,5,48.63,BMW
Audi Q5 30,8,42747,Diesel,Automatic,Second,14.16,1968,174.3,5,39.47,Audi
BMW X1 sDrive,8,42265,Diesel,Automatic,Second,20.68,1995,190,5,22.24,BMW
Hyundai i10 Magna,14,21000,Petrol,Automatic,First,19.2,1197,80,5,2.6,Hyundai
Hyundai Creta 1.6,7,55100,Diesel,Automatic,First,17.01,1582,126.2,5,12,Hyundai
Audi A4 2.0,9,70000,Diesel,Automatic,First,17.11,1968,174.33,5,18,Audi
Mercedes-Benz S Class,16,55000,Petrol,Automatic,Third,10.13,3498,364.9,5,9.99,Mercedes-Benz
Hyundai i10 Magna,11,58235,Petrol,Manual,First,20.36,1197,78.9,5,2.45,Hyundai
Ford EcoSport 1.5,6,26000,Diesel,Manual,First,23,1498,98.96,5,8.99,Ford
Volkswagen Vento Diesel,12,35000,Diesel,Manual,First,20.54,1598,103.6,5,3.15,Volkswagen
Maruti Dzire ZDI,6,24000,Diesel,Manual,First,28.4,1248,73.75,5,8.2,Maruti
Mahindra Scorpio 1.99,7,98000,Diesel,Manual,First,15.4,1997,120,7,11.5,Mahindra
Hyundai i20 Asta,7,44487,Diesel,Manual,First,22.54,1396,88.73,5,7.3,Hyundai
Maruti Alto LXi,15,65000,Petrol,Manual,First,19.7,796,46.3,5,1.59,Maruti
Hyundai i10 Magna,8,34951,Petrol,Manual,Second,20.36,1197,78.9,5,3.15,Hyundai
Mahindra Scorpio S6,8,52373,Diesel,Manual,Second,15.4,2179,120,7,8.5,Mahindra
Skoda Fabia 1.2L,13,66285,Diesel,Manual,First,19.5,1199,75,5,3,Skoda
BMW X5 xDrive,11,66000,Diesel,Automatic,First,15.3,2993,258,5,21,BMW
Honda Jazz 1.5,7,43000,Diesel,Manual,First,27.3,1498,98.6,5,7.75,Honda
Mercedes-Benz E-Class 2009-2013,10,45200,Diesel,Automatic,First,10,2148,170,5,23,Mercedes-Benz
Mahindra XUV500 AT,7,41000,Diesel,Automatic,First,16,2179,140,7,13.75,Mahindra
Honda City i,6,39430,Petrol,Automatic,First,18,1497,117.3,5,8.29,Honda
Maruti Swift VDI,9,83274,Diesel,Manual,First,22.9,1248,74,5,5.79,Maruti
Mercedes-Benz New C-Class,6,32324,Diesel,Automatic,First,14.84,2143,170,5,30.5,Mercedes-Benz
Honda City 1.5,12,49999,Petrol,Manual,First,17,1497,118,5,3.8,Honda
Tata Sumo EX,9,66000,Diesel,Manual,First,15.3,2956,83.8,7,4.45,Tata
Hyundai i20 Magna,11,54000,Petrol,Manual,First,18.5,1197,82.85,5,3.3,Hyundai
Fiat Linea 1.3,14,80000,Diesel,Manual,Second,20.4,1248,91.2,5,1.75,Fiat
Honda Civic 2006-2010,12,72000,Petrol,Automatic,Second,12.9,1799,130,5,5.5,Honda
Hyundai Creta 1.6,6,44865,Diesel,Manual,First,19.67,1582,126.2,5,13.35,Hyundai
Audi A3 35,6,22000,Diesel,Automatic,Second,20.38,1968,143,5,22.5,Audi
Hyundai Verna VTVT,10,57478,Petrol,Manual,Second,17,1591,121.3,5,5.25,Hyundai
Hyundai i20 1.4,12,75000,Diesel,Manual,First,21.9,1396,90,5,3.75,Hyundai
Honda Mobilio S,8,50624,Diesel,Manual,First,24.2,1498,98.6,7,6.32,Honda
Hyundai Verna 1.6,5,75000,Diesel,Automatic,First,22.32,1582,126.32,5,7.75,Hyundai
Ford Fiesta 1.6,17,87000,Petrol,Manual,Second,15.3,1596,101,5,1.37,Ford
Hyundai i10 Sportz,13,62000,Petrol,Manual,First,20.36,1197,78.9,5,2.1,Hyundai
Maruti Vitara Brezza,7,41372,Diesel,Manual,First,24.3,1248,88.5,5,9.3,Maruti
Toyota Innova 2.5,8,70000,Diesel,Manual,First,12.99,2494,100.6,7,12,Toyota
Mercedes-Benz GLA Class,6,35000,Diesel,Automatic,First,17.9,2143,136,5,23.5,Mercedes-Benz
Maruti Alto LXi,17,71993,Petrol,Manual,First,19.7,796,46.3,5,1.8,Maruti
Mercedes-Benz New C-Class,10,62000,Diesel,Automatic,Second,14.84,2143,170,5,12.5,Mercedes-Benz
Maruti Swift LDI,8,51000,Diesel,Manual,First,22.9,1248,74,5,4.74,Maruti
Hyundai Grand i10,7,26038,Petrol,Manual,First,18.9,1197,82,5,5.43,Hyundai
Toyota Fortuner 4x4,5,37713,Diesel,Automatic,Second,12.55,2982,168.5,7,31.62,Toyota
Toyota Innova 2.0,12,78088,Petrol,Manual,First,12.4,1998,132,8,6.3,Toyota
Ford EcoSport 1.5,6,30453,Diesel,Manual,First,22.77,1498,98.59,5,8.45,Ford
Ford Figo 1.2P,7,54000,Petrol,Manual,First,18.16,1196,86.8,5,5,Ford
Toyota Fortuner 3.0,12,190000,Diesel,Manual,First,11.5,2982,171,7,13,Toyota
Maruti Swift Dzire,11,65097,Petrol,Manual,First,19.1,1197,85.8,5,4.7,Maruti
BMW 7 Series,5,28060,Petrol,Automatic,First,12.05,2979,320,5,93.67,BMW
Skoda Superb 1.8,11,282000,Petrol,Manual,First,13.14,1798,160,5,3.3,Skoda
Maruti Wagon R,14,111000,Petrol,Manual,Second,18.9,1061,67,5,1.51,Maruti
Renault Duster 110PS,10,63295,Diesel,Manual,First,19.01,1461,108.45,5,6.09,Renault
Maruti Ciaz VXi,8,35770,Petrol,Manual,First,20.73,1373,91.1,5,5.95,Maruti
Hyundai Elantra CRDi,11,125928,Diesel,Manual,First,22.7,1582,126.24,5,9,Hyundai
Skoda Rapid 1.5,8,45000,Diesel,Automatic,First,21.66,1498,103.52,5,4.25,Skoda
Mercedes-Benz New C-Class,10,21000,Diesel,Automatic,First,14.84,2143,170,5,23.5,Mercedes-Benz
Honda Accord 2.4,12,54774,Petrol,Automatic,First,11.7,2354,177.6,5,6.35,Honda
Maruti Celerio VXI,9,41123,Petrol,Manual,First,23.1,998,67.04,5,3.4,Maruti
BMW 7 Series,6,17465,Petrol,Automatic,First,12.05,2979,320,5,93,BMW
BMW 3 Series,9,48000,Diesel,Automatic,First,22.69,1995,190,5,21.6,BMW
Volkswagen Vento Diesel,12,173000,Diesel,Manual,First,20.54,1598,103.6,5,4,Volkswagen
Maruti Swift Dzire,5,12000,Diesel,Manual,First,23.4,1248,74,5,5.5,Maruti
Land Rover Freelander,11,34000,Diesel,Automatic,First,12.39,2179,147.51,5,19.25,Land
Hyundai i20 1.4,11,71360,Diesel,Manual,First,21.9,1396,90,5,3.95,Hyundai
Maruti Dzire VDI,11,74000,Diesel,Manual,Second,28.4,1248,73.75,5,4.25,Maruti
Jeep Compass 2.0,5,28937,Diesel,Manual,First,17.1,1956,170,5,17.02,Jeep
Maruti Ertiga VDI,11,82085,Diesel,Manual,First,20.77,1248,88.76,7,6.5,Maruti
Ford Figo Petrol,12,68465,Petrol,Manual,First,15.6,1196,70,5,2.95,Ford
Toyota Corolla Altis,10,63854,Diesel,Manual,First,21.43,1364,86.79,5,7.12,Toyota
Maruti Vitara Brezza,5,3000,Diesel,Automatic,First,24.3,1248,88.5,5,11.25,Maruti
Honda City 1.5,14,65055,Petrol,Manual,First,17,1497,118,5,2.75,Honda
Mahindra Scorpio S10,8,120000,Diesel,Manual,First,15.4,2179,120,7,12,Mahindra
Hyundai Xcent 1.2,9,64241,Petrol,Manual,First,20.14,1197,81.86,5,3.67,Hyundai
Mercedes-Benz E-Class 220,22,121000,Diesel,Manual,First,15,2148,113.2530497,5,5,Mercedes-Benz
Mahindra Renault Logan,15,2200,Petrol,Manual,First,15.7,1390,75,5,2.3,Mahindra
Skoda Octavia 1.9,15,88123,Diesel,Manual,First,18.7,1896,66,5,2.2,Skoda
Mercedes-Benz GL-Class 2007,9,79000,Diesel,Automatic,First,12,2987,224,7,41,Mercedes-Benz
BMW X1 sDrive,7,28143,Diesel,Automatic,First,20.68,1995,190,5,28.5,BMW
Volkswagen Vento 2013-2015,8,23001,Petrol,Manual,First,15.04,1598,103.2,5,5.49,Volkswagen
Audi A4 2.0,10,82002,Diesel,Automatic,Second,16.55,1968,147.51,5,17.5,Audi
Ford Ikon 1.4,14,75000,Diesel,Manual,First,13.8,1399,68,5,1.99,Ford
Hyundai Verna 1.6,7,37451,Diesel,Manual,First,22.32,1582,126.3,5,6.64,Hyundai
Toyota Innova Crysta,6,67000,Diesel,Manual,First,13.68,2393,147.8,7,16.5,Toyota
Hyundai Grand i10,7,25000,Petrol,Manual,First,18.9,1197,82,5,5,Hyundai
Volkswagen Ameo 1.2,6,12000,Petrol,Manual,First,17,1198,73.75,5,5.4,Volkswagen
Renault KWID RXT,6,25000,Petrol,Manual,First,25.17,799,53.3,5,2.99,Renault
Honda City 1.5,12,95936,Petrol,Manual,First,17,1497,118,5,4.1,Honda
Hyundai Grand i10,5,5354,Petrol,Automatic,First,18.9,1197,81.86,5,6.76,Hyundai
Volkswagen Polo 1.0,7,42000,Petrol,Manual,Second,18.78,999,75,5,5.5,Volkswagen
Maruti Swift VDI,9,44282,Diesel,Manual,First,25.2,1248,74,5,5.99,Maruti
Nissan Sunny 2011-2014,11,70000,Diesel,Manual,First,21.64,1461,84.8,5,2.59,Nissan
Jaguar XF 2.2,10,31400,Diesel,Automatic,First,16.36,2179,187.7,5,26.75,Jaguar
Maruti Ciaz ZDi,7,50000,Diesel,Manual,First,28.09,1248,88.5,5,8.5,Maruti
Audi Q5 2008-2012,12,53000,Diesel,Automatic,First,12.8,1968,167.6,5,23,Audi
Ford Figo Petrol,9,21727,Petrol,Manual,First,15.6,1196,70.02,5,3.35,Ford
Hyundai Santa Fe,11,43000,Diesel,Automatic,Second,11.72,2199,194.3,7,10.75,Hyundai
Mahindra Scorpio VLX,10,75000,Diesel,Manual,First,12.05,2179,120,8,6.29,Mahindra
Renault Duster 110PS,9,73557,Diesel,Manual,First,19.6,1461,108.45,5,7.75,Renault
Audi A4 New,11,44555,Diesel,Automatic,First,15.2,1968,140.8,5,13.5,Audi
Maruti Eeco 7,10,54885,Petrol,Manual,First,15.1,1196,73,7,3.75,Maruti
Mahindra Xylo E4,12,76000,Diesel,Manual,Second,14,2498,112,7,3.75,Mahindra
Maruti Wagon R,17,101000,Petrol,Manual,Second,18.9,998,67.1,5,1.5,Maruti
Maruti Wagon R,18,66000,Petrol,Manual,First,14,1061,64,5,1.45,Maruti
Maruti SX4 ZXI,10,84360,Petrol,Manual,First,15.5,1586,103.3,5,4.12,Maruti
Toyota Innova Crysta,7,25121,Diesel,Manual,First,13.68,2393,147.8,7,17.11,Toyota
Toyota Innova 2.5,8,100000,Diesel,Manual,Second,12.99,2494,100.6,7,10.25,Toyota
Volkswagen Polo Diesel,12,66035,Diesel,Manual,First,22.07,1199,73.9,5,2.49,Volkswagen
Toyota Etios G,8,190000,Petrol,Manual,Second,16.78,1496,88.73,5,3.85,Toyota
Ford Ecosport 1.5,9,85670,Diesel,Manual,First,22.7,1498,89.84,5,6.25,Ford
Hyundai Grand i10,8,35000,Diesel,Manual,First,24,1120,70,5,4.88,Hyundai
Honda City i,7,8000,Petrol,Automatic,First,18,1497,117.3,5,9.45,Honda
Toyota Innova 2.5,16,162000,Diesel,Manual,Second,12.8,2494,102,8,4.8,Toyota
Hyundai EON Era,11,60000,Petrol,Manual,First,21.1,814,55.2,5,1.99,Hyundai
Hyundai i10 Magna,13,70600,Petrol,Manual,First,20.36,1197,78.9,5,2.8,Hyundai
Mercedes-Benz E-Class 2009-2013,12,25000,Petrol,Automatic,Second,12.3,1796,185,5,22,Mercedes-Benz
Mahindra Bolero SLE,11,75000,Diesel,Manual,First,15.96,2523,62.1,7,4.3,Mahindra
Skoda Laura Ambition,9,85071,Diesel,Automatic,First,20,1968,138.1,5,9.75,Skoda
Maruti Swift ZXI,8,40000,Petrol,Manual,First,20.4,1197,81.8,5,5.9,Maruti
Audi A4 2.0,10,67000,Diesel,Automatic,First,16.55,1968,147.51,5,14.5,Audi
Ford Fiesta 1.4,14,55000,Diesel,Manual,Second,17.8,1399,68,5,2.4,Ford
Maruti SX4 Vxi,15,62000,Petrol,Manual,Second,15,1586,104.68,5,2.11,Maruti
Hyundai Grand i10,6,22526,Petrol,Automatic,First,18.9,1197,82,5,7.6,Hyundai
Maruti Ritz AT,11,57788,Petrol,Automatic,First,17.16,1197,85.8,5,3.6,Maruti
Mahindra Scorpio 2.6,10,72000,Diesel,Manual,First,10.5,2179,120,8,6,Mahindra
Mahindra Scorpio S4,9,83128,Diesel,Manual,First,15.4,2179,120,7,7.45,Mahindra
Maruti Alto LXi,12,75000,Petrol,Manual,First,19.7,796,46.3,5,2.1,Maruti
